spec,group,ticker,n,beta,t
C close->close,LOAN,JBBB,1138,0.0593819881843281,2.006999585269731
C close->close,LOAN,CLOI,1027,0.19855306121811908,6.507785728572845
C close->close,EM,EMHY,1903,0.36386959225979054,17.037734830110477
C close->close,EM,VWOB,1903,0.3412461963780499,15.846961538659281
C close->close,EM,PCY,1903,0.125629974521774,5.523728317854508
C close->close,UST_ctl,SHY,1903,0.01350908796435267,0.5891392068279622
C close->close,UST_ctl,IEI,1903,0.011892382072337716,0.5184359019075245
C close->close,UST_ctl,TLH,1903,0.13225820498039031,5.762703038298793
C close->close,UST_ctl,GOVT,1903,0.04316874283503742,1.8838750530718167
D close->close  T+1 EXEC,HY,SPHY,1903,0.01780904237442978,0.7773911743783547
D close->close  T+1 EXEC,HY,SJNK,1903,-0.09856859902939191,-4.321107831204243
D close->close  T+1 EXEC,HY,FLHY,1903,-0.03824432070050562,-1.669593628574498
D close->close  T+1 EXEC,HY,SHYG,1903,-0.05793620809347096,-2.531628709425089
D close->close  T+1 EXEC,HY,HYGH,1903,0.05079082336304371,2.218454846001108
D close->close  T+1 EXEC,IG,IGIB,1903,0.02867627918708281,1.2513953141596728
D close->close  T+1 EXEC,IG,SPIB,1903,0.04921678400691524,2.1496733065728386
D close->close  T+1 EXEC,IG,IGSB,1903,0.08620165848313405,3.7743799003614784
D close->close  T+1 EXEC,IG,SPSB,1903,0.049394005416734596,2.157149909559119
D close->close  T+1 EXEC,IG_long,IGLB,1903,0.0030045084178949985,0.12914204015381636
D close->close  T+1 EXEC,IG_long,SPLB,1903,-0.029647218067859946,-1.2764319079204507
D close->close  T+1 EXEC,MUNI,HYD,1903,-0.09058102824983537,-3.967887408854252
D close->close  T+1 EXEC,MUNI,HYMB,1903,-0.07957413139097115,-3.48228423738904
D close->close  T+1 EXEC,MUNI,TFI,1903,-0.11374243211016503,-4.994627891275714
D close->close  T+1 EXEC,MUNI,SHM,1903,-0.2593116328071621,-11.710561729671067
D close->close  T+1 EXEC,PREF,PFFD,1903,0.05562637400596096,2.432093609379215
