group,ticker,n,beta,t,adv_musd,is_deep
HY,SPHY,1903,0.2945082087517689,13.461986672679062,112.33689422510746,False
HY,SJNK,1903,0.11775313250358253,5.1739082432379915,59.65783325643085,False
HY,FLHY,1903,0.44004334919637944,21.37794143758991,6.3761761217117305,False
HY,SHYG,1903,0.22381083337620705,10.018402565393265,63.05653527541388,False
HY,HYGH,1903,0.2686268877985189,12.16556774548606,5.585654490292503,False
IG,IGIB,1903,-0.0025489347939839074,-0.11119727515703956,154.84927577140445,False
IG,SPIB,1903,0.1584595160043477,7.003483090023138,173.97489748938423,False
IG,IGSB,1903,-0.13521169343441897,-5.953835898046906,154.68211538607278,False
IG,SPSB,1903,-0.1355111257434589,-5.967024527072874,98.66261336300259,False
IG_long,IGLB,1903,0.29574043886401,13.46349765321124,120.1076113603501,False
IG_long,SPLB,1903,0.451260422365863,21.95498033534063,55.64686087825412,False
MUNI,HYD,1903,-0.09246914305656603,-4.051172590337623,45.547185113452734,False
MUNI,HYMB,1903,-0.09574182419432427,-4.195649584811027,35.60792542926244,False
MUNI,TFI,1903,0.274168799123351,12.437893956597364,22.982979787445068,False
MUNI,SHM,1903,-0.06536283305669535,-2.8568453904343007,14.36191842358907,False
PREF,PFFD,1903,0.17969741970714823,8.041610563413702,14.23897581135886,False
PREF,FPE,1903,0.2413736102866055,10.855354466075754,16.990176414916625,False
MBS,VMBS,1903,0.2692272255917489,12.19536823631508,60.57765661508469,False
MBS,SPMB,1903,0.2499621437489286,11.263842940293289,22.650002054377964,False
LOAN,SRLN,1903,-0.06894379733465127,-3.0155704611610052,48.80684042995308,False
LOAN,JBBB,1138,-0.07318111032722903,-2.4757226903325154,14.556626448324295,False
LOAN,CLOI,1027,-0.04076879139426281,-1.3090675197728368,9.755174984377906,False
EM,EMHY,1903,0.11735732816889435,5.15516070332824,3.5125569110507056,False
EM,VWOB,1903,0.5048553676648296,25.507476638864,34.47865963374547,False
EM,PCY,1903,0.050796591561048106,2.214504208549864,5.145428242320106,False
UST_ctl,SHY,1903,-0.10180905243027044,-4.460623759345953,268.53335421262466,False
UST_ctl,IEI,1903,-0.10332187601790327,-4.525274014440961,137.78346296128916,False
UST_ctl,TLH,1903,0.027009763159662133,1.1721284909222152,82.33633359193347,False
UST_ctl,GOVT,1903,-0.0868922495289252,-3.800198756837082,158.6913578781217,False
