ticker,cls,era,N,nav_ar1,px_ar1,excess,volratio,se
AGG,Aggregate,full,5743,-0.0006795990116476953,0.08957777276478696,-0.09025737177643466,0.9584942745354583,0.013195644045124426
AGG,Aggregate,2015-19,1258,-0.09121407605074389,0.07048219327094235,-0.16169626932168624,1.1388451948509877,0.028194193721730047
AGG,Aggregate,2020-22,756,0.08146016009495853,0.2094751993578847,-0.12801503926292618,0.9488870988071125,0.036369648372665396
AGG,Aggregate,2023-26,895,-0.004033587828744853,0.06645866899016917,-0.07049225681891402,1.051402657075047,0.03342631352324378
EMB,EM-sov,full,4679,0.30603194114912047,0.23167974207762726,0.07435219907149321,0.7634535405924534,0.014619195618433589
EMB,EM-sov,2015-19,1258,0.2770178274825172,0.17710627602308365,0.09991155145943353,0.8220417603212744,0.028194193721730047
EMB,EM-sov,2020-22,756,0.269632102358352,0.1764085840722973,0.09322351828605471,0.7973683863302189,0.036369648372665396
EMB,EM-sov,2023-26,895,0.2024490658326359,0.11077679011801106,0.09167227571462483,0.8162355754154786,0.03342631352324378
FALN,HY-fallen,full,2539,-0.030035201733056818,0.030826559668596196,-0.06086176140165302,1.8181731435811521,0.01984580179179854
FALN,HY-fallen,2015-19,888,0.14951085216085466,-0.1854458168648497,0.33495666902570437,1.4218956378613679,0.033557802760701215
FALN,HY-fallen,2020-22,756,-0.08161170566159907,0.08469021418702458,-0.16630191984862364,1.7316773408285242,0.036369648372665396
FALN,HY-fallen,2023-26,895,-0.021556087376886995,0.16274788967483178,-0.18430397705171878,2.653103310389465,0.03342631352324378
GOVT,UST-ctl,full,3626,-0.019746244981420302,0.02146611396507889,-0.04121235894649919,1.042030705817397,0.016606805534831324
GOVT,UST-ctl,2015-19,1258,-0.07113894344264352,0.03514468262188928,-0.10628362606453279,1.0667726803937592,0.028194193721730047
GOVT,UST-ctl,2020-22,756,0.0075434857465972276,0.09726069390473219,-0.08971720815813496,1.1083216431635694,0.036369648372665396
GOVT,UST-ctl,2023-26,895,-0.01810639066676388,0.06146200069986922,-0.0795683913666331,1.063914861108673,0.03342631352324378
HYG,HY,full,4855,0.38784037898949475,0.13985402386821297,0.24798635512128178,0.6357704144752109,0.014351767259851572
HYG,HY,2015-19,1258,0.2973755927473618,0.21641698306356058,0.08095860968380122,0.7788892656563331,0.028194193721730047
HYG,HY,2020-22,756,0.2893056929967158,0.10423842937210978,0.18506726362460604,0.806653386269839,0.036369648372665396
HYG,HY,2023-26,895,0.148275214790893,0.11005004926783389,0.038225165523059115,0.8777680730690458,0.03342631352324378
IEF,UST-ctl,full,6037,-0.008852332404459847,0.11311432985551001,-0.12196666225996985,1.1106059997605475,0.012870321985377383
IEF,UST-ctl,2015-19,1258,-0.05777233903042138,0.0836884421186749,-0.14146078114909627,1.1216211976317054,0.028194193721730047
IEF,UST-ctl,2020-22,756,0.02804520694504048,0.1512659206580618,-0.12322071371302132,1.1303397851650474,0.036369648372665396
IEF,UST-ctl,2023-26,895,-0.02118112095176747,0.06807211697437675,-0.08925323792614422,1.0831916616458084,0.03342631352324378
IEI,UST-ctl,full,4916,-0.02281758859143317,-0.36248263939220116,0.339665050800768,0.4991606582447065,0.014262447634628236
IEI,UST-ctl,2015-19,1258,-0.07054583891853242,0.059890685922224816,-0.13043652484075724,1.1104512679322125,0.028194193721730047
IEI,UST-ctl,2020-22,756,0.033161325019099734,0.0447812842944061,-0.011619959275306367,1.0532999539137258,0.036369648372665396
IEI,UST-ctl,2023-26,895,-0.02561701428116629,0.05305252868772866,-0.07866954296889495,1.054492932138351,0.03342631352324378
IGSB,IG-short,full,4916,0.1593962614428906,0.06271134962912135,0.09668491181376924,0.6160478172197423,0.014262447634628236
IGSB,IG-short,2015-19,1258,-0.1094930694114563,-0.14891494595239044,0.03942187654093414,0.8182105504873673,0.028194193721730047
IGSB,IG-short,2020-22,756,0.43163873246212137,0.09199099851516987,0.33964773394695147,0.5598569656012344,0.036369648372665396
IGSB,IG-short,2023-26,895,-0.007837420092960406,0.013718879137854844,-0.02155629923081525,0.9732876779342922,0.03342631352324378
LQD,IG,full,6037,0.11636038716703544,0.12645360036316952,-0.010093213196134085,0.8942675247433017,0.012870321985377383
LQD,IG,2015-19,1258,-0.09578552247341736,0.10193301498289709,-0.19771853745631446,1.149344857633374,0.028194193721730047
LQD,IG,2020-22,756,0.25468574476178596,0.2831261271122544,-0.02844038235046842,0.9372872454858127,0.036369648372665396
LQD,IG,2023-26,895,0.017553741292729214,0.09808452651828989,-0.08053078522556067,1.074599012569962,0.03342631352324378
SHY,UST-ctl,full,6037,-0.031199313384785893,-0.005068190538819165,-0.026131122845966727,0.9679293168322811,0.012870321985377383
SHY,UST-ctl,2015-19,1258,-0.0750776641855151,0.009858179044270554,-0.08493584322978566,1.020441719274377,0.028194193721730047
SHY,UST-ctl,2020-22,756,0.06628261912570328,0.05306143154942092,0.013221187576282364,1.0257382891980666,0.036369648372665396
SHY,UST-ctl,2023-26,895,-0.05367435885817786,0.009431979177672946,-0.0631063380358508,0.9540072650289583,0.03342631352324378
SHYG,HY-short,full,3212,0.27873266297651844,-0.01392740569930223,0.2926600686758207,0.6920249445540086,0.017644616831014637
SHYG,HY-short,2015-19,1258,0.30568433646728393,0.12761957265348303,0.1780647638138009,0.702637926246662,0.028194193721730047
SHYG,HY-short,2020-22,756,0.30526416879174556,-0.08071104052827473,0.3859752093200203,0.6656476988967942,0.036369648372665396
SHYG,HY-short,2023-26,895,0.13742489846430248,0.08538243627673965,0.052042462187562824,0.7949938496976102,0.03342631352324378
TLT,UST-ctl,full,6037,-0.018598522509779766,0.12588110088017662,-0.1444796233899564,1.1443298563615396,0.012870321985377383
TLT,UST-ctl,2015-19,1258,-0.06576624834970506,0.09142509721616178,-0.15719134556586684,1.13951108002473,0.028194193721730047
TLT,UST-ctl,2020-22,756,0.007955469806875361,0.10131392417829607,-0.09335845437142071,1.1195668183644343,0.036369648372665396
TLT,UST-ctl,2023-26,895,-0.030022113328726847,0.07606518129815568,-0.10608729462688252,1.1228597745477724,0.03342631352324378
