date,ticker,shares,close,market_value,weight
2026-09-08,AWF,1743.0,10.029999732971191,17482.289534568787,0.03496457906913757
2026-09-08,BIT,8137.0,11.880000114440918,96667.56093120575,0.1933351218624115
2026-09-08,DSL,3723.0,10.510000228881836,39128.730852127075,0.07825746170425416
2026-09-08,HYT,4598.0,8.270000457763672,38025.46210479736,0.07605092420959472
2026-09-08,JFR,-3234.0,7.630000114440918,-24675.42037010193,-0.049350840740203857
2026-09-08,MHD,-5862.0,11.220000267028809,-65771.64156532288,-0.13154328313064576
2026-09-08,MQY,-2089.0,10.869999885559082,-22707.429760932922,-0.045414859521865844
2026-09-08,NAD,-8129.0,11.460000038146973,-93158.34031009674,-0.1863166806201935
2026-09-08,NEA,-7319.0,11.039999961853027,-80801.7597208023,-0.16160351944160462
2026-09-08,NVG,-4852.0,11.989999771118164,-58175.47888946533,-0.11635095777893066
2026-09-08,NZF,-4533.0,11.920000076293945,-54033.360345840454,-0.10806672069168091
2026-09-08,PCN,2120.0,11.729999542236328,24867.599029541016,0.04973519805908203
2026-09-08,PDI,4102.0,15.329999923706055,62883.659687042236,0.12576731937408447
2026-09-08,PDO,6099.0,12.819999694824219,78189.17813873291,0.15637835627746582
2026-09-08,PFN,559.0,6.909999847412109,3862.689914703369,0.007725379829406739
2026-09-08,PHK,6392.0,4.5,28764.0,0.057528
2026-09-08,PTY,2084.0,11.75,24487.0,0.048974
