date,nav,cash,invested,distributions_usd,cost_usd,traded_usd,daily_return,decision
2026-07-30,500000.0,500000.0,0.0,0.0,0.0,0.0,,funding
2026-07-31,498855.14344827866,499196.5203546736,-341.3769063949585,0.0,1144.85655172117,749432.8247015263,-0.0022897131034427,target
2026-08-03,499742.927677898,498919.34044864617,823.5872292518616,0.0,32.129487650561764,27823.987748316125,0.0017796433318952865,target
2026-08-04,498727.4421621816,499972.2464338796,-1244.804271697998,0.0,566.2225214270494,366744.33870858984,-0.002032015781463836,target
2026-08-05,498767.63881863863,498808.6017292908,-40.962910652160645,0.0,5.264749297017881,4996.8736851225,8.059844528052196e-05,target
2026-08-06,498795.0918461411,498865.80640474247,-70.7145586013794,0.0,2.1853515946431328,2097.3538033707614,5.504171755710274e-05,target
2026-08-07,496604.894575166,498879.5501375668,-2274.655562400818,0.0,3.1962424372969016,2576.2865819073186,-0.004390975987491608,target
2026-08-10,498605.4781303982,496714.28734832804,1891.19078207016,0.0,8.672815312144284,7535.0543840577775,0.004028521621688208,target
2026-08-11,499418.02465901565,498703.1897257347,714.8349332809448,0.0,5.207690914506899,4451.632703330892,0.0016296381894242984,target
2026-08-12,499244.5597237945,499515.30935329205,-270.7496294975281,0.0,3.740406908452915,3284.0898547245656,-0.00034733415026333425,target
2026-08-13,493689.3883178363,499338.48592735623,-5649.0976095199585,0.0,1.563429521638219,1427.8141100550508,-0.011127154613425616,target
2026-08-14,492289.47436982766,493790.17168552056,-1500.6973156929016,0.0,12.004329630978768,10614.875272839103,-0.0028356168496523892,target
2026-08-17,492799.12984543946,492379.5277522197,419.6020932197571,0.0,3.3839106605827984,2870.3048756188155,0.0010352759954175283,target
2026-08-18,492187.302388775,492889.3729745027,-702.0705857276917,0.0,7.5347454065661355,6830.727630035015,-0.001241535180584341,target
2026-08-19,490251.5567752872,492277.5749871288,-2026.0182118415833,0.0,3.0980314335778694,3227.255620148597,-0.0039329450477345596,target
2026-08-20,490119.8702822845,490359.54836475063,-239.6780824661255,0.0,5.7465868825486375,5156.4334082935475,-0.00026861004556288925,target
2026-08-21,492019.0758612146,490162.9628841867,1856.112977027893,0.0,9.815447681260263,8638.715305528804,0.003874981803607014,target
2026-08-24,493559.3784801758,492116.56183741457,1442.8166427612305,0.0,4.611023445283778,3842.7026233865176,0.0031305750011116906,target
2026-08-25,493619.09004110034,493630.3826574677,-11.292616367340088,0.0,5.219224731535724,4888.725701725961,0.000120981514135865,target
2026-08-26,493002.39435579546,493709.13519432314,-706.7408385276794,0.0,6.397449888541261,5809.849931707367,-0.0012493351609508263,target
2026-08-27,492876.8183177539,493090.4570129939,-213.63869524002075,0.0,1.9181706098608835,1516.8978241128798,-0.00025471689281686416,target
2026-08-31,490807.69066259306,492958.3021042053,-2150.6114416122437,0.0,3.5549255732432528,2898.177406625111,-0.0041980624331714456,target
