recorded_utc,fill_date,instrument,side,qty,price,source,note
2026-07-31T21:20:29.391250+00:00,2026-07-31,MHD,SELL,200.0,11.35,ibkr_paper,execId=00012ec5.6a6cae2f.01.01 orderRef='' commission=1.086362 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.393184+00:00,2026-07-31,MHD,SELL,200.0,11.35,ibkr_paper,execId=00012ec5.6a6cae30.01.01 orderRef='' commission=1.086362 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.395053+00:00,2026-07-31,MHD,SELL,200.0,11.35,ibkr_paper,execId=00012ec5.6a6cae31.01.01 orderRef='' commission=1.086362 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.397059+00:00,2026-07-31,MHD,SELL,200.0,11.35,ibkr_paper,execId=00012ec5.6a6cae32.01.01 orderRef='' commission=1.086362 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.398991+00:00,2026-07-31,MHD,SELL,200.0,11.35,ibkr_paper,execId=00012ec5.6a6cae33.01.01 orderRef='' commission=1.086362 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.400893+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae34.01.01 orderRef='' commission=1.042666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.402782+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae35.01.01 orderRef='' commission=0.042666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.404667+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae36.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.406589+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae37.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.408792+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae38.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
2026-07-31T21:20:29.410920+00:00,2026-07-31,MQY,SELL,100.0,11.1,ibkr_paper,execId=00012ec5.6a6cae39.01.01 orderRef='' commission=0.542666 time=2026-07-31 11:28:18+00:00
