fill_date,instrument,real_qty,real_vwap,fill_price,close_price,shares,side,half_spread_bp,realised_bp,modelled_bp,excess_bp
2026-07-31,AWF,5292.0,10.25,10.107644345831408,10.09000015258789,5292.0,BUY,11.76,158.57269077550262,17.486811671645466,141.08587910385717
2026-07-31,BIT,3320.0,12.55,12.246922589362478,12.229999542236328,3320.0,BUY,9.52,261.6520602953012,13.837324415022715,247.8147358802785
2026-07-31,DSL,4426.0,10.98,10.690000326220645,10.670000076293944,4426.0,BUY,11.08,290.5341344793415,18.74437655453879,271.7897579248027
2026-07-31,HYT,5009.0,8.450000000000001,8.364322189027668,8.350000381469727,5009.0,BUY,14.08,119.76001672070949,17.15186455526887,102.60815216544061
2026-07-31,JFR,-3247.0,7.6000000000000005,7.695353271490244,7.710000038146973,3248.0,SELL,16.09,142.671903505476,18.99710322212719,123.6748002833488
2026-07-31,MHD,-4821.0,11.370435594275047,11.448597939392736,11.470000267028809,4822.0,SELL,10.67,86.80442060665477,18.659395935321236,68.14502467133354
2026-07-31,MQY,-2976.0,11.111612903225808,11.183544968529628,11.199999809265137,2977.0,SELL,10.92,78.9168817362043,14.691822335476298,64.225059400728
2026-07-31,NAD,-6225.0,11.7,11.69345001064176,11.710000038146973,6226.0,SELL,10.5,8.53974219846015,14.133242913150124,-5.593500714689974
2026-07-31,NEA,-5283.0,11.26,11.253357037762951,11.270000457763672,5284.0,SELL,10.85,8.873520281698816,14.76789647267077,-5.894376190971954
2026-07-31,NVG,-6336.0,12.30159090909091,12.381056556243962,12.399999618530272,6337.0,SELL,9.93,79.36186489256164,15.276663604087153,64.0852012884745
2026-07-31,NZF,-3762.0,12.295215311004783,12.18245285348714,12.199999809265137,3763.0,SELL,9.96,-78.04549444938233,14.382750862562121,-92.42824531194445
2026-07-31,PCN,5020.0,11.75,11.658831225341167,11.640000343322754,5020.0,BUY,9.9,94.50142047491178,16.17773321563138,78.3236872592804
2026-07-31,PDI,4390.0,16.16,16.01626692408104,16.0,4390.0,BUY,6.96,100.00000000000009,10.16682755065057,89.83317244934952
2026-07-31,PDO,642.0,13.350000000000001,13.05528371086382,13.039999961853027,642.0,BUY,9.08,237.7300912989589,11.720666453607283,226.00942484535162
2026-07-31,PFN,-601.0,6.8999999999999995,7.066658851910494,7.079999923706055,602.0,SELL,16.97,254.23718311543928,18.843321948198074,235.3938611672412
2026-07-31,PTY,4651.0,11.809999999999999,11.726004583876124,11.710000038146973,4651.0,BUY,9.65,85.39706364411795,13.667417315981446,71.72964632813651
