decision_date,ticker,current_shares,target_shares,delta_shares,decision_price,target_weight,reason,status,fill_date
2026-09-09,JFR,-5837.0,-10564.0,-4727.0,7.670000076293945,,target,filled,2026-09-10
2026-09-09,MQY,-1750.0,-1581.0,169.0,10.699999809265137,,target,filled,2026-09-10
2026-09-09,NEA,-7118.0,-11683.0,-4565.0,10.960000038146973,,target,filled,2026-09-10
2026-09-10,JFR,-10564.0,-10467.0,97.0,7.630000114440918,,target,open,
2026-09-10,MHD,-8856.0,-8741.0,115.0,11.039999961853027,,target,open,
2026-09-10,NAD,-6550.0,-5233.0,1317.0,10.9399995803833,,target,open,
2026-09-10,NEA,-11683.0,-11576.0,107.0,10.800000190734863,,target,open,
