date,ticker,shares,close,market_value,weight
2026-07-30,CASH,,,500000.0,1.0
2026-07-31,AWF,5292.0,10.09000015258789,53396.28080749512,0.10703764711815836
2026-07-31,BIT,3320.0,12.229999542236328,40603.59848022461,0.08139356487247364
2026-07-31,DSL,4426.0,10.670000076293945,47225.420337677,0.09466760232486876
2026-07-31,HYT,5009.0,8.350000381469727,41825.15191078186,0.08384227858546335
2026-07-31,JFR,-3248.0,7.710000038146973,-25042.080123901367,-0.05019910178894994
2026-07-31,MHD,-4822.0,11.470000267028809,-55308.341287612915,-0.11087054431332588
2026-07-31,MQY,-2977.0,11.199999809265137,-33342.39943218231,-0.06683783833861433
2026-07-31,NAD,-6226.0,11.710000038146973,-72906.46023750305,-0.1461475564500459
2026-07-31,NEA,-5284.0,11.270000457763672,-59550.68241882324,-0.11937469864936345
2026-07-31,NVG,-6337.0,12.399999618530273,-78578.79758262634,-0.1575182668047872
2026-07-31,NZF,-3763.0,12.199999809265137,-45908.59928226471,-0.09202791608988295
2026-07-31,PCN,5020.0,11.640000343322754,58432.801723480225,0.11713380625800553
2026-07-31,PDI,4390.0,16.0,70240.0,0.1408023970936214
2026-07-31,PDO,642.0,13.039999961853027,8371.679975509644,0.016781785425006086
2026-07-31,PFN,-602.0,7.079999923706055,-4262.159954071045,-0.00854388294888443
2026-07-31,PTY,4651.0,11.710000038146973,54463.21017742157,0.10917640299536838
2026-07-31,CASH,,,499196.5203546736,1.0006843207108886
