grp,h,ticker,beta,t,n
CREDIT,5,HYG,-2.5295980960301887,-0.5648393566859663,4726
CREDIT,5,JNK,-1.5605023119895338,-0.3204235106801156,4561
CREDIT,5,LQD,-1.2035129119958092,-0.6410352360847751,5907
CREDIT,5,USHY,-4.586934741103402,-0.8392342383610609,2069
CREDIT,5,SHYG,-3.386737778148552,-0.9970548329080923,3083
CREDIT,5,IGIB,-0.6787182691207602,-0.3119836132993271,4787
CREDIT,5,VCIT,-0.8180943579166445,-0.3317400451114057,4064
CREDIT,5,EMB,-0.9927456902649782,-0.1944541746555894,4549
CREDIT,5,ANGL,-1.6543080273145003,-0.3308683213406649,3465
CREDIT,10,HYG,-1.790214028451267,-0.19600520111320643,4721
CREDIT,10,JNK,0.2936153775112432,0.028993043992172007,4556
CREDIT,10,LQD,-1.7203840317873282,-0.44716007311501044,5902
CREDIT,10,USHY,-6.113107739106765,-0.5272945012768552,2064
CREDIT,10,SHYG,-3.3922170103232685,-0.4820661238332542,3078
CREDIT,10,IGIB,-0.8045662364736631,-0.17418658289477001,4782
CREDIT,10,VCIT,-0.7750695797111333,-0.14753097342673333,4059
CREDIT,10,EMB,1.1305984816081511,0.11026683637485364,4544
CREDIT,10,ANGL,-0.020916278096322544,-0.0020890220589778047,3460
CREDIT,21,HYG,5.9266839485771055,0.3329066730761056,4710
CREDIT,21,JNK,11.553975132610665,0.567587705880631,4545
CREDIT,21,LQD,-0.339311242632376,-0.04377706508627333,5891
CREDIT,21,USHY,7.286527759680123,0.3362442809803429,2053
CREDIT,21,SHYG,6.005858837071323,0.4622353440042013,3067
CREDIT,21,IGIB,2.416329686344741,0.2544435297828784,4771
CREDIT,21,VCIT,3.3204866788801293,0.33732134245156054,4048
CREDIT,21,EMB,9.770758653042702,0.446544174433911,4533
CREDIT,21,ANGL,12.589516743728355,0.6786288404428278,3449
CREDIT,42,HYG,18.79503626985428,0.6426222428829415,4689
CREDIT,42,JNK,31.428331291095496,0.885783965334781,4524
CREDIT,42,LQD,3.766492602677657,0.3024668638392689,5870
CREDIT,42,USHY,39.367492595574426,1.5870201633747671,2032
CREDIT,42,SHYG,25.54931109490031,1.5161902266670046,3046
CREDIT,42,IGIB,12.231485527100357,0.8652600323513819,4750
CREDIT,42,VCIT,14.457194679134298,1.068482896503494,4027
CREDIT,42,EMB,24.611496067512384,0.731331682873899,4512
CREDIT,42,ANGL,43.559971579947266,1.5944634461473666,3428
CREDIT,63,HYG,8.30854257852027,0.2003245995363408,4668
CREDIT,63,JNK,26.697801207872143,0.5046329815213886,4503
CREDIT,63,LQD,-7.21475999000006,-0.4500727362488117,5849
CREDIT,63,USHY,48.910314741696396,1.3190737798736352,2011
CREDIT,63,SHYG,31.568389411591422,1.2196957673899602,3025
CREDIT,63,IGIB,4.434240344057143,0.23776195596514244,4729
CREDIT,63,VCIT,9.090690527126796,0.484729564472857,4006
CREDIT,63,EMB,7.325495658383978,0.1692371692117931,4491
CREDIT,63,ANGL,43.544991417573165,1.02501942397208,3407
UST-ctl,5,SHY,0.4503649514964734,1.3469290102990321,6034
UST-ctl,5,IEI,1.8394951711120517,1.6149243012259766,4913
UST-ctl,5,IEF,0.8994303201174437,0.5685472570295764,6034
UST-ctl,5,TLT,1.0725449336160058,0.3237177080502031,6034
UST-ctl,5,GOVT,2.1806959865595217,1.2524244845897063,3623
UST-ctl,10,SHY,1.1222451332300138,1.7990941770143931,6029
UST-ctl,10,IEI,4.03480769202279,1.844087471631481,4908
UST-ctl,10,IEF,2.0436268871520613,0.6690785513223113,6029
UST-ctl,10,TLT,2.4570291348723883,0.38568596099429486,6029
UST-ctl,10,GOVT,4.953966439751522,1.4788397185833986,3618
UST-ctl,21,SHY,2.6285604320445866,2.0132662523581444,6018
UST-ctl,21,IEI,9.990514817261854,2.163408179817667,4897
UST-ctl,21,IEF,5.82803858481909,0.9126033896974626,6018
UST-ctl,21,TLT,9.01872690087624,0.6920589509215028,6018
UST-ctl,21,GOVT,11.871705881079215,1.694660903094786,3607
UST-ctl,42,SHY,4.201121693184569,1.5451283332534227,5997
UST-ctl,42,IEI,16.465924025491855,1.7524661682931473,4876
UST-ctl,42,IEF,8.987320021780437,0.7790756823226825,5997
UST-ctl,42,TLT,18.152608455912546,0.7702873822206803,5997
UST-ctl,42,GOVT,19.516752977554187,1.4873672816458867,3586
UST-ctl,63,SHY,5.119455573424895,1.2213477295052657,5976
UST-ctl,63,IEI,19.533445434681763,1.3985950337241193,4855
UST-ctl,63,IEF,7.559168888984689,0.4698527707147484,5976
UST-ctl,63,TLT,17.648979091136503,0.5280850800645156,5976
UST-ctl,63,GOVT,20.13240428419955,1.1449507267725658,3565
