date,nav,cash,invested,distributions_usd,cost_usd,traded_usd,daily_return,decision
2026-07-30,640000.0,640000.0,0.0,0.0,0.0,0.0,,funding
2026-07-31,639206.6224818421,639676.27,-469.647518157959,0.0,0.0,639100.9500000001,-0.0012396523721217,rebuilt_from_broker
2026-08-03,640080.253662323,639730.049,350.20466232299805,53.779000000000025,0.0,0.0,0.0013667430057104912,target
2026-08-04,640031.9397214389,640928.7868703342,-896.8471488952637,0.0,136.04654967908118,759543.9296113015,-7.548106758115125e-05,target
2026-08-05,640134.8601695921,640353.1067649748,-218.24659538269043,0.0,0.23012939205734284,2086.802273100385,0.0001608051751260664,target
2026-08-06,640316.2474909533,640603.4152861346,-287.1677951812744,0.0,0.0714875376908708,528.8879730832225,0.00028335798071221774,target
2026-08-07,640432.8059624424,640647.1013325443,-214.2953701019287,0.0,0.12396259294224521,1183.4981690045774,0.00018203266268157492,target
2026-08-10,640856.1874327471,640867.0339522173,-10.846519470214844,0.0,0.10736407630130174,989.4147293168797,0.0006610864814591277,target
2026-08-11,640790.482048963,641169.4413842901,-378.95933532714844,0.0,0.20257998165563862,2045.9625238000858,-0.00010252750160277824,target
2026-08-12,640872.6641123542,641200.88367107,-328.2195587158203,0.0,0.05771512746139962,407.9621460883682,0.00012825106753844295,target
2026-08-13,640686.1500501547,641255.0793332967,-568.9292831420898,0.0,0.09432915214106785,729.2270962480176,-0.0002910313899218142,target
2026-08-14,641006.1224543155,640990.5588747562,15.563579559326172,0.0,0.19043572864298142,1671.8867559860716,0.0004994214470468439,target
2026-08-17,641240.1585101271,641334.0193366194,-93.86082649230957,0.0,0.1295134938664333,1282.202834278874,0.0003651073642096936,target
2026-08-18,641085.9009367654,641551.9272314736,-466.02629470825195,0.0,0.12709354910358073,1264.1255655217294,-0.00024056131125682612,target
2026-08-19,640485.1102326672,641539.3662541668,-1054.2560214996338,0.0,0.08098157915238247,592.1009729234454,-0.0009371454016072756,target
2026-08-20,640743.7407321446,640807.2214755528,-63.480743408203125,0.0,0.28478754044243715,2470.9689012032754,0.00040380407810491903,target
2026-08-21,641103.775855412,641114.1963933606,-10.420537948608398,0.0,0.16509684076893905,1549.667370674988,0.0005619018967801814,target
2026-08-24,640867.0444433555,641020.8247187004,-153.78027534484863,-465.447,0.06467023519168791,579.0557568049989,-0.00036925599407144905,target
2026-08-25,640423.3246557183,641122.8142511315,-699.489595413208,0.0,0.1604633727606135,1069.5550061249958,-0.0006923741694701002,target
2026-08-26,640530.5041783268,640854.6210701878,-324.1168918609619,0.0,0.25315752151196236,2404.751240701452,0.00016735730646000313,target
2026-08-27,640599.7003838654,640868.3244282837,-268.62404441833496,0.0,0.056644040328649226,525.7042188896202,0.0001080295241009388,target
2026-08-28,640846.0053188397,640900.2960655285,-54.29074668884277,0.0,0.04836893502213968,415.9371056983772,0.00038449118041539165,target
2026-08-31,640905.9615493279,641268.5435576898,-362.5820083618164,0.0,0.1525036425373436,1452.7348965393421,9.355793746168573e-05,target
2026-09-01,641254.7149289259,641816.7316830762,-562.0167541503906,602.1639999999999,0.09588498944621904,652.4343360897021,0.0005441568662505336,target
2026-09-02,641118.1901957399,641569.1761900788,-450.98599433898926,0.0,0.6054655315023716,5118.024745092757,-0.00021290250193506388,target
2026-09-03,641172.8075634592,641440.0652538888,-267.2576904296875,0.0,0.040932680421786216,366.5702994284986,8.51907940759844e-05,target
2026-09-04,641160.9297679687,641483.5208400512,-322.59107208251953,0.0,0.10441139638529862,845.7370146404592,-1.852510797450968e-05,target
2026-09-08,641070.017671477,641506.8516024463,-436.8339309692383,0.0,0.03723954279062269,188.21207276769945,-0.00014179294506377893,target
