recorded_utc,fill_date,instrument,side,qty,price,source,note
2026-09-10T16:08:08.467811+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552524.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.472111+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552525.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.476559+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552526.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.480696+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552527.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.484818+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552528.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.488915+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b552529.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.493016+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55252a.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.497106+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55252b.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.501231+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55252c.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
2026-09-10T16:08:08.505308+00:00,2026-09-10,SRLN,SELL,4.0,40.49,ibkr_paper,execId=00012ec5.6b55252d.01.01 orderRef='' commission=0.024128 time=2026-09-10 13:44:35+00:00
