tag,s_entry,reb,mrs,icoef,sharpe,cagr,vol,dd,cost,turn_M,gross,npos
e2.0_r10_m0.2_i0.5,2.0,10,0.2,0.5,-0.18141491726362322,-0.0032684707378215494,0.06686465970810135,-0.20789857398900635,0.6340678986996848,254.29322567778863,0.9723262728424783,1.162027833001988
e2.0_r10_m0.35_i0.5,2.0,10,0.35,0.5,-0.19075886074184306,-0.005376117234387134,0.07248972350366577,-0.2669704432943779,0.6578162586665288,256.6104707419315,0.9709630530577199,1.7485089463220675
e2.0_r10_m0.2_i1.0,2.0,10,0.2,1.0,-0.23794860339377552,-0.00707829346177824,0.0670293150589478,-0.23387461118567343,0.995782023739931,249.31731204388743,0.9725762825097822,1.1365142478462558
e2.0_r10_m0.35_i1.0,2.0,10,0.35,1.0,-0.2452080314307548,-0.00928095766205228,0.07244971951096926,-0.2851977298897149,1.0355974507868742,251.47739602912674,0.9696026953657602,1.126573889993373
e2.0_r1_m0.35_i0.5,2.0,1,0.35,0.5,-0.33394142545200345,-0.015244082072595755,0.0715957356405532,-0.23887284240961526,3.858267689915188,1592.1673133021318,2.3481968165270715,2.107355864811133
e2.0_r1_m0.2_i0.5,2.0,1,0.2,0.5,-0.4296137553568541,-0.021527658087636903,0.07068506619782366,-0.2890162054248163,3.861169246007549,1567.0951329198954,2.340458255032462,2.207090788601723
e2.0_r5_m0.35_i0.5,2.0,5,0.35,0.5,-0.47244021588669727,-0.02208611326018617,0.06611666316285876,-0.32066539799082505,1.1514026403129962,488.93659874858946,1.586468547281069,1.431742876076872
e2.0_r5_m0.35_i1.0,2.0,5,0.35,1.0,-0.5615310866685437,-0.027781719701952423,0.06603941570056832,-0.3559394758854142,1.799375455509716,474.210086502744,1.6079436729905392,2.1172962226640157
e2.0_r5_m0.2_i0.5,2.0,5,0.2,0.5,-0.562390031509806,-0.029718773568706336,0.0691032973923047,-0.3801519369471865,1.1441247857184562,467.34415039063674,1.5930566343624373,1.5311464546056992
e1.5_r10_m0.2_i0.5,1.5,10,0.2,0.5,-0.5733984749489105,-0.04117809948746032,0.08622409369943765,-0.4894936121653207,1.719657746482993,607.1702399281934,3.107677908359776,3.048707753479125
e2.0_r1_m0.35_i1.0,2.0,1,0.35,1.0,-0.6025803344560823,-0.03405555743290645,0.07166861816308347,-0.3539258089319248,5.879922348088517,1427.7194414775151,2.352823310298574,2.034128561961564
e2.0_r5_m0.2_i1.0,2.0,5,0.2,1.0,-0.6534822414524296,-0.03565672327197977,0.0688895294014689,-0.41522494836712953,1.789697662836852,452.3863410390815,1.594232851201558,1.5311464546056992
e1.5_r5_m0.2_i0.5,1.5,5,0.2,0.5,-0.6814267092917046,-0.05359051002073023,0.09103659648417595,-0.5618274395286442,2.928531164733367,981.2655531710673,3.5854921246979465,3.7905897945659377
e1.5_r10_m0.2_i1.0,1.5,10,0.2,1.0,-0.6843598788504193,-0.05042200387497031,0.08637853134266767,-0.5389535458922815,2.6512978424489155,577.4862455367211,3.114870182958516,3.0719019218025183
e1.5_r10_m0.35_i0.5,1.5,10,0.35,0.5,-0.6975559906051101,-0.05158488179169041,0.08646925482633037,-0.5555176893505183,1.6768439644648199,557.9656289404355,3.1246036057182054,3.0685884691848906
e2.0_r1_m0.2_i1.0,2.0,1,0.2,1.0,-0.697652920497122,-0.04002798396351881,0.07086629588302124,-0.4062111638393583,5.897198652056239,1407.6505978343487,2.346435407570829,2.20675944333996
e1.5_r5_m0.35_i0.5,1.5,5,0.35,0.5,-0.709146363107238,-0.0555101968373769,0.09042358798349139,-0.5734701464976604,2.8719973275555857,939.5556882602932,3.6202729489457846,3.7707090788601723
e1.5_r10_m0.35_i1.0,1.5,10,0.35,1.0,-0.803159792251533,-0.060194328685341913,0.0864545639878161,-0.5959511418765374,2.562986266488192,532.0771489956994,3.127244820095923,3.058648111332008
e1.5_r1_m0.2_i0.5,1.5,1,0.2,0.5,-0.8306344667335221,-0.06126206162216141,0.08511154823647615,-0.5679557728581891,7.052246769826562,2281.5815839829065,3.8248330146481817,3.732935719019218
e1.5_r5_m0.2_i1.0,1.5,5,0.2,1.0,-0.8463436293497838,-0.06770461287911078,0.09104877613440443,-0.6298265113599054,4.478874289490866,909.0194516946863,3.5923421124537587,3.818754141815772
e1.5_r1_m0.35_i0.5,1.5,1,0.35,0.5,-0.8639947443882037,-0.06463907009653636,0.0859205858225088,-0.585199514300415,7.010928256260164,2230.3115926943046,3.861938641346381,3.7087475149105367
e1.5_r5_m0.35_i1.0,1.5,5,0.35,1.0,-0.8714659698083773,-0.06933090631163541,0.0904891108313801,-0.6373512985410899,4.357365988195901,870.6930219888453,3.6246327647836605,3.7259774685222
e1.5_r1_m0.2_i1.0,1.5,1,0.2,1.0,-1.1711028629735931,-0.08829807884427665,0.08530149476059852,-0.6901131125744896,10.565357110231197,1934.6745527047829,3.844873134757631,4.321404903909874
e1.5_r1_m0.35_i1.0,1.5,1,0.35,1.0,-1.2010712145971887,-0.09144976485233702,0.08600941571589807,-0.7018814092190474,10.43612047058778,1893.1007361219033,3.8615746023861353,3.698475811795891
