ticker,n_days,spread_bp_mean,spread_bp_median,spread_bp_p90,half_spread_bp_median,px,first,last,n_closes,close_spread_bp_median,close_half_spread_bp,close_spread_bp_p90
AGG,1238,1.0177258889515646,1.0111734668087482,1.0435908253752688,0.5055867334043741,97.625,2021-08-02,2026-07-30,60,1.0152284290124198,0.5076142145062099,1.024159948289832
ANGL,1239,3.5144902057841905,3.469210754552649,3.6720156485827644,1.7346053772763246,28.905,2021-08-02,2026-07-30,59,3.4393809114352574,1.7196904557176287,3.467045797028077
BKLN,1240,4.812071782694227,4.763038818767118,4.872107186358861,2.381519409383559,20.384999999999998,2021-08-02,2026-07-30,59,4.886391399950163,2.4431956999750817,4.913280787283375
CWB,1254,8.496175683873387,7.458976671488198,16.830023997670075,3.729488335744099,101.105,2021-08-02,2026-07-30,60,7.6893946487291895,3.8446973243645948,12.596567713575082
EMB,1233,1.134002525079585,1.1080946312820783,1.1958146487283594,0.5540473156410392,94.705,2021-08-02,2026-07-30,60,1.043515196200727,0.5217575981003635,1.0552419142078726
FALN,1238,3.8596850031989867,3.7516413430881874,4.046125834512648,1.8758206715440937,26.925,2021-08-02,2026-07-30,60,3.6941264651511023,1.8470632325755512,3.7198231218365576
GOVT,1233,4.321782811500346,4.35824798430944,4.463289444321162,2.17912399215472,22.505000000000003,2021-08-02,2026-07-30,60,4.410144187403907,2.2050720937019537,4.439906189302319
HYG,1236,1.2926999162311983,1.2678288431050275,1.3505300830563718,0.6339144215525138,79.445,2021-08-02,2026-07-30,60,1.2528188473110609,0.6264094236555304,1.2583682361221438
HYGH,1254,14.896577904751327,14.414414622396583,21.510014785599363,7.2072073111982915,86.31,2021-08-02,2026-07-30,60,11.558689283246796,5.779344641623398,17.341045162137473
IEF,1228,1.0352396204668894,1.041232822480441,1.0766348726711201,0.5206164112402205,93.225,2021-08-02,2026-07-30,58,1.063320750703483,0.5316603753517415,1.071627611242838
IEI,1230,0.8594500941840716,0.850955197208093,0.877239153545811,0.4254775986040465,116.66499999999999,2021-08-02,2026-07-30,59,0.8540074298638631,0.42700371493193157,0.8580819085706591
IGSB,1225,1.9729778780268352,1.9310611180840034,2.0048517605534872,0.9655305590420017,52.185,2021-08-02,2026-07-30,60,1.9131434519847836,0.9565717259923918,1.9185020399691772
JAAA,1250,3.65098758769695,1.9831432821017374,8.102250429971768,0.9915716410508687,50.665,2021-08-02,2026-07-30,60,1.9760893192368363,0.9880446596184181,1.978826555851986
JBBB,1137,11.318264151077303,6.224712107065284,30.31355613352774,3.112356053532642,47.46,2022-01-12,2026-07-30,60,4.223418904648264,2.111709452324132,11.02322134953076
JNK,1232,1.0574664519621193,1.0453143782998084,1.101006320977924,0.5226571891499042,95.625,2021-08-02,2026-07-30,60,1.0404744816952456,0.5202372408476228,1.0469888693362366
LQD,1236,0.9180278815535153,0.9173891105917267,0.9537434972355405,0.45869455529586334,106.42500000000001,2021-08-02,2026-07-30,59,0.92102233479209,0.460511167396045,0.936356147803223
LQDH,1254,8.829657296447763,7.681334935599312,15.451175711690182,3.840667467799656,92.425,2021-08-02,2026-07-30,60,5.3867757354303105,2.6933878677151553,8.602490150384929
PFF,1232,3.1532274794042188,3.1680658957711274,3.310600575586233,1.5840329478855637,30.314999999999998,2021-08-02,2026-07-30,59,3.236769703834928,1.618384851917464,3.2969571382256255
SHY,1231,1.2326285258036325,1.2151406525294253,1.2335779929674835,0.6075703262647126,82.015,2021-08-02,2026-07-30,60,1.2194378391567728,0.6097189195783864,1.2218217362075758
SHYG,1236,2.4092441370201896,2.357934482197108,2.442897276169051,1.178967241098554,42.125,2021-08-02,2026-07-30,59,2.3637867864330735,1.1818933932165367,2.3725357211110536
SJNK,1239,4.011494897731182,3.9785160135275768,4.101218172163776,1.9892580067637884,24.845,2021-08-02,2026-07-30,60,4.00400400400463,2.002002002002315,4.021879080448706
SPHY,1244,6.228778401205839,4.3084879207567734,11.794809211341322,2.1542439603783867,23.255000000000003,2021-08-02,2026-07-30,60,4.278990354190726,2.139495177095363,4.298857148326782
SPY,1250,0.2901479956542729,0.2425741973824038,0.5042940649944847,0.1212870986912019,738.75,2021-08-02,2026-07-30,60,0.13556842259118726,0.06778421129559363,0.27092023445737934
SRLN,1235,2.4980175687688013,2.4018253872938655,2.4786218862307625,1.2009126936469328,40.394999999999996,2021-08-02,2026-07-30,60,2.4777007317822175,1.2388503658911088,2.4879335362799955
TLT,1241,1.0264968910328296,1.0653598252815335,1.1628583057160435,0.5326799126407668,82.765,2021-08-02,2026-07-30,58,1.1761246854836735,0.5880623427418368,1.1965315031630621
USHY,1229,2.787014131969993,2.71997824017547,2.878111958554615,1.359989120087735,36.765,2021-08-02,2026-07-30,59,2.707459049681335,1.3537295248406676,2.722051854557157
VCIT,1242,1.2425701525615471,1.2306935144247937,1.2907389480484177,0.6153467572123968,81.405,2021-08-02,2026-07-30,60,1.2158794566652222,0.6079397283326111,1.227641684419951
VCLT,1251,3.475015764920521,2.5664057487483665,7.500000000000284,1.2832028743741832,72.205,2021-08-02,2026-07-30,59,1.341291663872995,0.6706458319364975,1.3740613006514275
VCSH,1232,1.3062676224270908,1.280737710170638,1.3282858471149788,0.640368855085319,78.685,2021-08-02,2026-07-30,60,1.2687135704355215,0.6343567852177607,1.272232275406444
