ticker,modelled_half_bp,roll_half_bp,cs_half_bp,roll_vs_model
AGG,0.5037783375314862,5.609281635396092,0.0,11.134424046261243
ANGL,4.343293850510659,0.0,0.0,0.0
BIL,0.5471058139175718,1.059095588211016,0.8109584955932021,1.935814903203682
BKLN,2.3607176241532652,3.692271455231196,0.0,1.5640462109717712
CWB,0.6930006783446276,0.0,0.0,0.0
EMB,0.5614192832994896,0.0,0.0,0.0
FALN,4.734848553265204,2.1791965958584374,0.0,0.46024631439492175
GOVT,2.1701388026553206,5.571926476591834,0.0,2.567543822438538
HYG,0.646078309785953,0.0,0.0,0.0
HYGH,1.4872099400522956,3.467569009050055,0.0,2.3315934863427037
IEF,0.5187260122067148,6.8337781343068205,0.0,13.174157403896544
IEI,0.4268761305596373,4.237100719969913,0.0,9.925831913850622
IGSB,0.9750390247705379,2.5845786163255715,0.12863274469127678,2.6507437658034423
JAAA,2.485089500913973,5.750223899043098,1.1502891227070007,2.313890061878361
JBBB,2.6068821274474825,0.0,0.0,0.0
JNK,0.5278158791107056,0.0,0.0,0.0
LQD,0.4518344329055927,6.732869857851634,0.0,14.901188062527352
LQDH,1.3428875278419254,3.687593977297783,0.0,2.746018486912225
PFF,1.6030778821373532,0.0,0.0,0.0
SHY,0.6094587937838105,2.0260165289903433,0.0,3.3242879578648257
SHYG,2.960682055563386,0.0,0.0,0.0
SJNK,1.9888624190097568,0.0,0.0,0.0
SPHY,5.346450149141125,14.811682519615223,3.277038422972592,2.7703769990251628
SPY,0.10519450517940401,17.007427595395036,0.0,161.6760073769035
SRLN,1.1924636211802762,2.6589048709921577,0.0,2.229757641042691
TLT,0.5056634444664859,13.47153009980444,0.0,26.64129718536001
USHY,1.375515876172508,0.0,0.0,0.0
VCIT,0.6151574895536991,4.1462482459590495,0.0,6.7401410474042684
VCLT,0.6238303062771116,9.089524934403778,0.0,14.570508747239545
VCSH,0.6462452917802028,1.9169346064976864,0.0,2.9662647153948827
