max_hs,smooth,n_names,turn,gross,cost,sr_net,cagr13,n_obs,earn_bp_per_turn,pay_bp_per_turn
0.8,1,7,117.61261234138736,0.5168404489900413,0.6801372702641758,-0.17375744142856597,-3.055817410817663,2584,0.4371598012373009,0.5782859990304275
0.8,5,7,51.16650582908187,0.11079164758822044,0.2962701887844304,-0.18921989521419963,-3.25055571835291,2584,0.21097614457269465,0.5790315050515668
0.8,10,7,32.47147836414542,-0.045075364935945626,0.18804223794665312,-0.23733082389037277,-3.853634354900204,2584,-0.14775493350394972,0.5790997127937572
0.8,20,7,19.59853886549532,0.353647036119167,0.11308958252428984,0.23051425714179252,2.1808409598982115,2584,1.7904319119573577,0.5770306822382173
0.8,40,7,10.886945701957412,0.7118100258519698,0.06269951681791344,0.5665683670127858,6.74136760881916,2584,6.514224569877748,0.5759146645384703
1.2,1,10,133.60450618432657,0.12132730228939194,0.9380699261804882,-0.6781867650221072,-9.229300007718155,2964,0.08818066526080912,0.7021244664355005
1.2,5,10,53.815274696676774,-0.002317961893067887,0.37766673912547183,-0.32985112233783404,-5.015717661516206,2964,-0.010914443008946529,0.7017835386962983
1.2,10,10,33.67212034386978,-0.0773820745794924,0.23628712904524776,-0.28876274043415745,-4.501695107455561,2964,-0.2404454326625938,0.7017292841443094
1.2,20,10,20.207039223627167,0.0709252853492732,0.14190009459401137,-0.06734161524108209,-1.7072047790797518,2964,0.3335190274870954,0.702231004867324
1.2,40,10,11.205590753485737,0.2123278037991944,0.07838865695589005,0.119795960101601,0.7135659835965757,2964,1.8637531068157318,0.6995495255928885
1.8,1,14,130.7766553541473,0.44859496309990676,1.148270090951744,-0.4517158609448843,-6.500172693159223,3012,0.3379436422235759,0.8780390413275156
1.8,5,14,52.45315010190957,0.3160234199509035,0.4609677950518247,-0.09700541440931498,-2.0585624107627876,3012,0.5897373829320441,0.8788181341944667
1.8,10,14,33.49099678130458,0.08974172285816812,0.2942434761760911,-0.131433798764234,-2.49960837235752,3012,0.24776512744625545,0.8785748543033641
1.8,20,14,20.759655391005875,0.15600570454633406,0.18221685699922335,-0.020079194277688225,-1.0861601642708663,3012,0.7190147896432618,0.8777450953167982
1.8,40,14,11.688806402796171,0.3497862130941354,0.1030392349749835,0.14850067475409232,1.0987673208534998,3012,2.935371032958905,0.881520588366787
2.5,1,19,136.10960608611856,1.1589753352655312,1.6415421766709553,-0.39560189670643653,-5.808740058195616,3016,0.8469213249774206,1.2060443225677453
2.5,5,19,52.760790475365205,0.8057547767157505,0.6316253537031705,0.1329077648849702,0.8900914954494521,3016,1.5151471347643373,1.1971491480933851
2.5,10,19,33.392802329399636,0.5955339763188756,0.3978154666585246,0.14670235255020758,1.0702235785616132,3016,1.76419186716197,1.1913210000595862
2.5,20,19,20.544104013474165,0.41413446934003395,0.24380920607796047,0.11592169269775514,0.6666009092441083,3016,1.9842843958607683,1.18675998679745
2.5,40,19,11.657247768015749,0.2919496405008362,0.13845871431383955,0.09876056563722795,0.4431545487895594,3016,2.448503410398104,1.1877478892893727
4.0,1,21,134.1986352904637,1.4091008840642778,1.782933778526658,-0.28831014072599337,-4.487729134758989,3016,1.0452780738055456,1.3285781741875544
4.0,5,21,52.23637555644611,0.8971694010416914,0.6878607913725209,0.1645401848103217,1.3053477394427526,3016,1.7050334732682553,1.316823351630178
4.0,10,21,33.247043106675655,0.6818345452420468,0.4352260011801991,0.1985482274063201,1.7533188907006947,3016,2.030981922195931,1.3090667936506217
4.0,20,21,20.577719770927004,0.4779356176649504,0.2683439184434844,0.16245370632817976,1.2734098101444769,3016,2.2902192618289625,1.304050795864229
4.0,40,21,11.703542861356803,0.16685288065602843,0.15300978288948264,0.005199248232626025,-0.7768194925896088,3016,1.3678680258014195,1.3073800361315893
