ticker,modelled,measured,ratio
HYG,0.6315922367430056,0.6264094236555304,0.9917940519437004
JNK,0.5245494354386226,0.5202372408476228,0.9917792408118902
USHY,1.364256423419097,1.3537295248406676,0.9922837830207557
SPHY,2.157962875932693,2.139495177095363,0.9914420683306018
SHYG,1.1903344537218339,1.1818933932165367,0.9929086648891794
SJNK,2.0181635023155713,2.002002002002315,0.9919919767180839
HYGH,1.4499478172771938,5.779344641623398,3.9858983701056405
ANGL,4.334257952102798,1.719690455717629,0.3967669840424029
FALN,4.654626778280359,1.8470632325755512,0.3968230581223839
LQD,0.46939543349351576,0.460511167396045,0.9810729601024261
VCSH,0.6367398793812422,0.6343567852177607,0.996257350543526
VCIT,0.6148926827620631,0.6079397283326111,0.9886924098718826
VCLT,0.689227393507658,0.6706458319364975,0.9730400129968803
IGSB,0.9599231780230089,0.9565717259923918,0.9965086247448265
LQDH,1.3542325760546983,2.6933878677151553,1.988866547252787
BKLN,2.4527838821978083,2.4431956999750817,0.9960908980639032
SRLN,1.238543505645459,1.2388503658911088,1.0002477589557823
JAAA,0.9870694147649536,0.988044659618418,1.0009880205372352
JBBB,2.63268747272849,2.111709452324132,0.8021117106374873
EMB,0.5270925540616512,0.5217575981003635,0.9898785214851209
PFF,1.656451909380181,1.618384851917464,0.9770189178163577
CWB,0.5059704528881798,3.844697324364595,7.598659768408016
