scenario,cagr,vol,sharpe,maxdd,n_days,avg_gross,avg_n_pos,median_hold_days,cost_drag_pct_yr,fin_drag_pct_yr,turn_M
base,-0.01592136530633248,0.052978940329210536,-0.48597483631190613,-0.2831206903078701,3018,4.796858830959075,22.360834990059644,1754.0,6.784228716777803,1.1972620657775452,2931.526175728201
pessimistic,-0.04933690891871334,0.05324886303713624,-1.1316864598982224,-0.4666424285544608,3018,4.73186647316113,21.74188204108681,1070.0,8.238438010686727,2.356667556282614,1948.4952909988992
legacy_wrong,-0.027864970591558125,0.05238618698469312,-0.7250516882358963,-0.32356986476872873,3018,4.757550225017968,21.85453943008615,1025.0,7.251079864896819,1.1866154434259666,2545.012276982085
optimistic,0.020243797370044225,0.05298300103912381,0.1951258052654899,-0.1947601831764928,3018,4.800372512194004,22.46752816434725,738.0,4.435752459240301,0.7213690926536336,3871.89529377332
