scenario,s_entry,cagr,vol,sharpe,maxdd,n_days,avg_gross,avg_n_pos,median_hold_days,cost_drag_pct_yr,fin_drag_pct_yr
base,1.25,-0.06990827066914895,0.08621743230241553,-0.9260330378306959,-0.5992203401963689,3018,4.779367191773146,4.712060967528164,5.0,11.30664716427718,1.3105232331879366
base,1.5,-0.05842090625378149,0.08385226682062713,-0.8082850420925042,-0.5489061674924178,3018,4.244603376570405,4.083499005964215,6.0,9.287698278841312,1.1612636776284089
base,2.0,-0.004230809797042601,0.07297983569930123,-0.17372361203806844,-0.19104100645025213,3018,2.6013234345057628,2.7335984095427435,6.0,5.533794351278516,0.7376110222876849
base,2.5,0.014979893072511796,0.05594708807011031,0.09562349951967912,-0.17799657547370784,3018,0.8007947298546081,1.1722995361166335,5.5,1.9754885527856105,0.23690577477023042
pessimistic,1.25,-0.12375395525569521,0.08607538623819647,-1.6204754325083208,-0.7976090380571081,3018,4.5593803131296955,4.148111332007952,6.0,16.536388625504,2.4389081922339133
pessimistic,1.5,-0.09440557419069107,0.08345039673975291,-1.279656750331455,-0.7059137854397929,3018,4.004272400205441,3.625248508946322,6.0,13.312344028958695,2.1402822341202454
pessimistic,2.0,-0.02849021001750407,0.06791333491851084,-0.5552434672457008,-0.3446105171599957,3018,2.4172648398481904,2.0036447978793905,7.0,7.988484578643722,1.2862233088957216
pessimistic,2.5,0.008685038032006487,0.054379530618971106,-0.01800342828224942,-0.15847530278294641,3018,0.7524696386835928,1.106361829025845,7.0,2.87782193654173,0.3913787851190712
legacy_wrong,1.25,-0.07574068555068747,0.08541180448438092,-1.0092683008976702,-0.6268846807824076,3018,4.757173716662343,4.653412856196156,6.0,12.013745068442784,1.3418426042758824
legacy_wrong,1.5,-0.06041907342505426,0.08317145975829196,-0.8411973056211766,-0.5768244619234906,3018,4.2212368263483135,4.160371106693174,6.0,9.771076405129957,1.1869534785153273
legacy_wrong,2.0,-0.005703992805050406,0.07193776489273801,-0.19785394376378074,-0.21258468540136766,3018,2.582511991917009,2.6643472498343272,6.0,5.771605374360958,0.7504062732235283
legacy_wrong,2.5,0.01457179295019162,0.05551105437763111,0.08869128067296705,-0.1827211549298834,3018,0.7982087155629936,0.9337309476474487,6.0,2.0341022638389115,0.23205048271356088
optimistic,1.25,-0.034171627285371375,0.08801627279068777,-0.477149202247089,-0.4008246338899262,3018,4.809296067204071,5.121603711066932,5.0,7.053658060915039,0.8251500982439344
optimistic,1.5,-0.01570877352522082,0.08482313140836348,-0.27518131478485397,-0.33015223054814336,3018,4.287521235298449,4.472829688535454,6.0,5.781824581858775,0.7372708667443684
optimistic,2.0,0.02261638560259116,0.07496829496421732,0.1877068649979355,-0.1278988308515403,3018,2.6719578775654558,2.7829688535453942,6.0,3.298378873371747,0.4938884720423369
optimistic,2.5,0.02308063700670404,0.05710885056997265,0.23407718105951428,-0.17138158387687485,3018,0.8039783532331758,1.2041086812458581,5.5,1.1350403460686684,0.15710989907208658
