seed,frac_long,sharpe_gross,sharpe_net,cagr_net,cagr_gross,ann_vol,max_dd,turnover_yr,cost_drag_yr,sharpe_net_zerocost
0,0.5018695471541338,0.34580417909125005,0.17735885884488392,0.02488688713614362,0.038298250259144684,0.07653611602651243,-0.17509714605802085,130.0307436643124,0.013003074366431241,0.34580417909125005
1,0.502492729538845,0.06736118943215286,-0.09096805057443126,0.0035203871119851016,0.016148134799878644,0.07860020402636823,-0.3530094917425338,125.05774823431656,0.012505774823431659,0.06736118943215286
2,0.5008309098462816,0.090909354862759,-0.06236931837705912,0.00544884371008636,0.01811278786433812,0.08096241785501619,-0.4167406097323628,125.16244287494806,0.012516244287494808,0.090909354862759
3,0.5008309098462816,0.17094321143668106,0.019194926618192675,0.012192692299424657,0.02480683344414225,0.08073287824998172,-0.19246860300746838,123.85375986705442,0.012385375986705444,0.17094321143668106
4,0.5006231823847113,0.2512648330058391,0.09239569152227815,0.018227155015015484,0.03134404210650965,0.07977578718334834,-0.356140982446441,127.98919817199832,0.012798919817199834,0.2512648330058391
5,0.5124636476942251,0.2544767039141602,0.08459613845634356,0.01748282324324224,0.030265424368205673,0.07303585995365293,-0.34483426396798356,124.84835895305359,0.012484835895305359,0.2544767039141602
6,0.49376817615288743,0.24203857995353803,0.09122896698743879,0.01819169792358255,0.03119907427598556,0.08322897327551981,-0.33612088213065217,126.94225176568341,0.012694225176568341,0.24203857995353803
7,0.5116327378479435,0.23179552455526942,0.06903955758280314,0.016292574487978717,0.0293879012706042,0.07815795046455509,-0.3390895849371832,128.04154549231407,0.012804154549231408,0.23179552455526942
8,0.5,0.29079174214141007,0.13811994245602832,0.021979129758956883,0.03468832631496399,0.08025917054103156,-0.33401575744385326,123.59202326547569,0.012359202326547568,0.29079174214141007
9,0.5010386373078521,0.1395918546065958,-0.025080999027057772,0.008966466395152084,0.021828483114724184,0.07649460115787747,-0.3247216737501074,126.68051516410469,0.012668051516410468,0.1395918546065958
10,0.5047777316161196,0.20551329991198855,0.05449441862875016,0.015047895727492433,0.027928502217525963,0.0828982656881938,-0.34358006624573967,126.10469464063148,0.012610469464063148,0.20551329991198855
11,0.5047777316161196,0.35155751209683667,0.17647633446955105,0.024221275017138666,0.03723458715850536,0.071826579811057,-0.33664582016335065,126.26173660157872,0.012626173660157872,0.35155751209683667
12,0.49979227253842956,0.3059566815967981,0.1453190782844156,0.022281515862534684,0.03498333252437047,0.07632020339751408,-0.32548839306521193,123.4873286248442,0.01234873286248442,0.3059566815967981
13,0.49501454092230995,0.5317933083983174,0.373874152313017,0.04104831143355603,0.05408097657659483,0.07822988993499846,-0.1507076358110665,124.42958039052762,0.012442958039052763,0.5317933083983174
14,0.4954299958454508,0.09281937357049483,-0.06822800809818079,0.00547397086839152,0.01815404237536078,0.07754734306281645,-0.41965472908709,125.3194848358953,0.012531948483589529,0.09281937357049483
15,0.48358953053593684,0.026149740380741044,-0.14013945347601728,3.2467562576687925e-05,0.01295235556971508,0.07650745121440229,-0.2870656824408968,128.35562941420855,0.012835562941420856,0.026149740380741044
16,0.487120897382634,0.29293996631200664,0.1317675555961555,0.021368077284997122,0.034383056309155835,0.07775232161258726,-0.13258828997537953,126.62816784378894,0.012662816784378894,0.29293996631200664
17,0.5068550062318239,0.3073780646565845,0.14666786261755302,0.022686572479842626,0.03599458272585565,0.07985877243143204,-0.20112481560653428,129.29788117989196,0.012929788117989198,0.3073780646565845
18,0.5031159119235563,0.11345623155252163,-0.047647996185510334,0.007065649177073974,0.01987291705245453,0.07774457383995906,-0.26120699474034526,126.36643124221021,0.012636643124221024,0.11345623155252163
19,0.502492729538845,0.40624850450403355,0.24899645160505343,0.031168088998921206,0.044318703457091324,0.07988830400940083,-0.19429292277003707,126.73286248442044,0.012673286248442044,0.40624850450403355
