period,n_days,trades,pct_days_in_market,gross_pct_yr,cost_pct_yr,borrow_pct_yr,net_pct_yr,gross_sharpe,net_sharpe,edge_bp_per_turn
IS  2007-2019,3039,185,72.5328947368421,0.616404935834156,0.3516886019680066,0.6597368421052632,-0.39535332345598545,0.26845927028920546,-0.17215837783780827,2.0090675675675675
OOS 2020-2023,1006,90,71.17296222664015,-0.11753320079522854,0.5170168260622567,1.4886779324055668,-2.1232279592630516,-0.22869920426036486,-3.9653733295736524,-0.2606666666666665
IS+OOS,4045,275,72.194760257044,0.433872978986403,0.39279591621388293,0.8658452792881858,-0.8250793762673345,0.21621997433516876,-0.4107338564020133,1.2662454545454545
