period,n,turn_per_yr,hold_days,gross_bp_per_turn,spread_bp,borrow_bp,cost_bp_per_turn,ratio,gross_pct_yr,cost_pct_yr,net_pct_yr,net_sharpe
IS  2007-2019,2861,115.65228712971737,4.35789047072373,3.71931681759731,1.1466466645031532,0.6474779768098653,1.7941246413130185,2.0730537510901983,4.301474965151508,2.074946181636344,2.2265287835151635,0.641882808639517
OOS 2020-2023,1006,130.4813063886489,3.862622270954248,-0.15281583174810406,1.1466466645031532,1.2101078988305223,2.3567545633336753,-0.06484164033268831,-0.19939609363360586,3.075124142611877,-3.2745202362454826,-6.651030239614805
IS+OOS        ,3867,119.51005629819038,4.217218329664795,2.619506269491955,1.1466466645031532,0.8047264039245824,1.9513730684277357,1.342391320180794,3.1305734174044613,2.3320870526657123,0.7984863647387495,0.2664343427236735
