ticker,cls,era,N,disp_bp,ar1,halflife,rt_cost_bp,edge_bp,viability,adv_musd
AGG,Aggregate,2007-2014,2014,40.51330649691746,0.7786948832751353,2.77108139499916,1.012,63.09500894741384,62.34684678598205,815.973312560859
AGG,Aggregate,2015-2019,1258,6.586183271361179,0.231907047845313,0.4742974805144408,1.012,3.054764638059114,3.0185421324694803,815.973312560859
AGG,Aggregate,2020-2022,756,31.102819794386118,0.7613214380803817,2.5417973718597646,1.012,47.358486988434,46.796923901614626,815.973312560859
AGG,Aggregate,2023-2026,896,5.085656899140114,0.1566670117449274,0.37393988121701127,1.012,1.5935093382965104,1.5746139706487257,815.973312560859
ANGL,HY-fallen,2007-2014,686,68.3494983759387,0.5855035512517885,1.294917157644525,3.47,80.03774805078092,23.065633444029082,19.020914604492795
ANGL,HY-fallen,2015-2019,1258,38.23818821825515,0.7057696054271071,1.9891361565235004,3.47,53.97470202209078,15.554669170631348,19.020914604492795
ANGL,HY-fallen,2020-2022,756,82.16907637472565,0.73105529909441,2.2126461109173854,3.47,120.14027741087295,34.622558331663676,19.020914604492795
ANGL,HY-fallen,2023-2026,892,23.256568839559673,0.4596012663717515,0.8916269192312698,3.47,21.37749698024688,6.160661953961637,19.020914604492795
EMB,EM-sov,2007-2014,1771,101.78741208457784,0.7760207806188326,2.733489112549209,1.108,157.97829396608978,142.57968769502688,593.6933578456116
EMB,EM-sov,2015-2019,1258,22.163784775812875,0.4332518234036025,0.8286910930523713,1.108,19.205000335291867,17.333032793584717,593.6933578456116
EMB,EM-sov,2020-2022,756,69.62625262811154,0.6305380664929925,1.502980506257108,1.108,87.80400541856417,79.24549225502182,593.6933578456116
EMB,EM-sov,2023-2026,895,28.641566257111194,0.35914341652974063,0.6768794118541536,1.108,20.5728599206837,18.5675631053102,593.6933578456116
GOVT,UST-ctl,2007-2014,718,7.853477504195562,0.12553705505407345,0.334021994906527,4.322,1.971804875620251,0.4562250984776148,188.4034678980317
GOVT,UST-ctl,2015-2019,1258,6.145227925874595,0.0129621242547635,0.15950097832624446,4.322,0.15931041589805817,0.036860346112461397,188.4034678980317
GOVT,UST-ctl,2020-2022,756,10.332604702212448,0.00818405341637128,0.1442383544364321,4.322,0.16912517762631146,0.03913123036240432,188.4034678980317
GOVT,UST-ctl,2023-2026,896,8.76001737568265,0.003655997802926205,0.12352512420303957,4.322,0.0640532085581823,0.014820270374405902,188.4034678980317
HYG,HY,2007-2014,1947,126.00455941667173,0.7820920456019456,2.8201610030525486,1.268,197.09432725871338,155.4371666078181,2659.1716033693942
HYG,HY,2015-2019,1258,26.256827955283537,0.4585888004707904,0.8891046665785876,1.268,24.082174472362787,18.992251161169392,2659.1716033693942
HYG,HY,2020-2022,756,44.585483343243475,0.4839325672660499,0.9549985003212508,1.268,43.15273483418704,34.03212526355445,2659.1716033693942
HYG,HY,2023-2026,896,17.213024545382748,0.32520102522641237,0.6170568244795022,1.268,11.19538645881174,8.829169131555,2659.1716033693942
IEF,UST-ctl,2007-2014,2014,11.396740368132358,0.042527392707466645,0.2195166173929405,1.036,0.9693473064412055,0.9356634232057968,615.8173388798973
IEF,UST-ctl,2015-2019,1258,6.656010787343662,0.00854218943425096,0.14553544426474496,1.036,0.11371381004381488,0.10976236490715721,615.8173388798973
IEF,UST-ctl,2020-2022,756,9.868801769805312,0.4144487292094178,0.7869464745927472,1.036,8.18022470463093,7.895969792114798,615.8173388798973
IEF,UST-ctl,2023-2026,896,4.697412085485045,0.02491814763303155,0.1877349256924059,1.036,0.2341016156786059,0.22596681050058484,615.8173388798973
IEI,UST-ctl,2007-2014,2008,7.609650358131006,0.12761979367674994,0.33669172236191647,0.86,1.9422840173137705,2.258469787574152,141.7696624494556
IEI,UST-ctl,2015-2019,1258,3.83261780603957,0.0073098314746696735,0.1409255341611761,0.86,0.05603158053793496,0.06515300062550576,141.7696624494556
IEI,UST-ctl,2020-2022,756,4.059998013795847,0.07011868477969074,0.26082030958727276,0.86,0.569363441871043,0.6620505138035384,141.7696624494556
IEI,UST-ctl,2023-2026,896,3.0434125086642485,0.026057367795758794,0.19003585627921835,0.86,0.15860663818495455,0.18442632347087737,141.7696624494556
IGIB,IG-int,2007-2014,2008,51.3466580356998,0.852454029337975,4.3420481517881955,1.9102197309410507,87.5413310711428,45.82788547996855,140.29761709022657
IGIB,IG-int,2015-2019,1258,9.286820227583775,0.5635553286892783,1.208647870573161,1.9102197309410507,10.467274051668424,5.479617806330492,140.29761709022657
IGIB,IG-int,2020-2022,756,35.82657759394235,0.614097839945838,1.4215458112634907,1.9102197309410507,44.00204782618391,23.03507136558931,140.29761709022657
IGIB,IG-int,2023-2026,896,9.710088023838464,0.31152496627245646,0.594325273046449,1.9102197309410507,6.049869688257722,3.167106689489232,140.29761709022657
IGSB,IG-short,2007-2014,2008,45.395319794012956,0.7608497997997204,2.5360344046058882,1.974,69.0780399542381,34.993941212886575,164.83908196005407
IGSB,IG-short,2015-2019,1258,5.159521057816393,0.5869083154644362,1.3007403423675403,1.974,6.056331625292611,3.0680504687399246,164.83908196005407
IGSB,IG-short,2020-2022,756,44.602492263649566,0.8244478285826932,3.5906656562177433,1.974,73.54485579228451,37.25676585222113,164.83908196005407
IGSB,IG-short,2023-2026,896,5.791291197806489,0.2636479595641597,0.5199355607373396,1.974,3.053724215087118,1.5469727533369393,164.83908196005407
JNK,HY,2020-2022,756,44.86996482161811,0.42452770770140585,0.8090160780745238,1.046,38.09708662072851,36.421688929950776,262.0441741020082
JNK,HY,2023-2026,891,18.445399448994,0.3426056044206976,0.6470903110690589,1.046,12.638994454007584,12.083168694079907,262.0441741020082
